label	drawings	engraving	iconography	painting	sculpture	total
Sitting	16	3	0	43	20	82
Physicist	0	2	0	0	0	2
Fiddle	0	0	0	1	0	1
Cart	0	1	0	3	0	4
Gesture	2	0	0	3	2	7
Sunflower	0	0	0	1	0	1
Massif	0	1	0	0	0	1
Pottery	0	0	0	0	1	1
Urban design	0	0	0	0	2	2
Oval	0	2	1	64	0	67
Holiday	0	0	1	1	0	2
Claw	0	0	0	0	1	1
Sea turtle	0	1	0	0	0	1
Rim	0	1	0	0	0	1
Sheep	0	1	0	0	0	1
Historian	1	1	0	11	0	13
Pest	0	1	0	0	0	1
Daughter	0	0	1	1	0	2
Sky	4	2	0	104	29	139
Wildflower	0	0	0	1	0	1
Fashion illustration	2	0	0	0	0	2
Temple	0	0	12	2	7	21
Mode of transport	0	0	0	1	0	1
Spoke	0	1	0	0	0	1
Facial expression	0	0	0	0	1	1
Stage	0	0	0	1	0	1
Monochrome photography	1	0	0	1	3	5
Leg	8	0	0	1	10	19
Ironclad warship	0	2	0	0	0	2
Classic car	0	1	0	0	0	1
Musical ensemble	0	0	0	1	0	1
Ground beetle	0	1	0	0	0	1
Cliff	1	1	0	10	0	12
Hand	1	0	1	1	11	14
Mother	0	0	1	2	0	3
Action figure	0	0	0	0	2	2
Eyebrow	4	1	0	96	0	101
Chair	0	0	0	0	2	2
Machine	0	0	0	0	2	2
Tattoo	0	0	2	0	0	2
Saluki	0	0	0	1	0	1
Bronze sculpture	0	0	0	0	151	151
Greyhound	1	0	0	0	0	1
Rock	1	1	0	14	35	51
Fawn	0	0	0	0	1	1
