label	drawings	engraving	iconography	painting	sculpture	total
African elephant	1	0	0	0	4	5
American pit bull terrier	0	0	0	0	1	1
Bowed string instrument	0	0	0	2	1	3
Conservation-restoration	0	0	0	0	1	1
Troop	2	0	0	2	0	4
Dobermann	0	1	0	0	0	1
Peach	0	0	1	0	0	1
Worship	0	0	1	0	0	1
Sailing	0	6	0	5	0	11
Sidewalk	0	0	0	0	2	2
Atmosphere	0	1	0	15	2	18
Moscow watchdog	1	0	0	0	0	1
Red juniper	0	0	0	1	0	1
Coachman	3	1	0	1	0	5
Ship	8	11	0	12	0	31
Carrack	1	2	0	0	0	3
Bodybuilding	0	0	0	0	3	3
Clock tower	1	0	0	0	0	1
Dogue de bordeaux	0	1	0	0	0	1
Cottage	0	1	0	0	0	1
Shelving	0	0	0	0	1	1
Poster	10	10	68	2	1	91
Edible mushroom	1	0	0	0	0	1
Leisure	0	0	0	0	18	18
Pine	0	0	0	1	0	1
Land lot	1	0	0	1	3	5
Hot air balloon	0	1	0	0	0	1
Religious item	1	0	274	1	4	280
Family car	3	0	0	0	0	3
Hill station	0	0	0	1	0	1
Common bottlenose dolphin	0	0	0	0	1	1
Currency	0	0	5	0	0	5
Bird	10	12	0	2	8	32
Clock	1	1	0	0	0	2
Pier	1	0	0	3	0	4
Shimada	2	2	0	0	0	4
Walk-behind mower	0	0	0	0	1	1
Jumping	2	0	0	0	6	8
Purple	2	0	0	0	1	3
Deer	0	0	0	0	5	5
Gargoyle	0	0	0	0	7	7
Games	10	6	15	13	28	72
Macropodidae	0	1	0	0	1	2
Meadow	0	0	0	4	2	6
Ceramic	0	0	0	0	31	31
Bank	14	0	0	31	0	45
Elephant beetle	0	1	0	0	0	1
Alloy wheel	0	0	0	0	1	1
Glass	0	2	10	1	25	38
Kimono	0	1	0	0	0	1
Meditation	0	0	0	0	6	6
Colorado spruce	1	0	0	0	0	1
Sperm whale	1	0	0	0	0	1
Eagle	0	0	0	0	1	1
Horse trainer	2	3	0	102	11	118
Human settlement	4	1	0	1	1	7
Primate	0	0	0	0	3	3
